Exchange Date;Close;Settlement Price
04-Feb-2026;193.75;193.75
03-Feb-2026;193.25;193.25
02-Feb-2026;193.50;193.50
30-Jän-2026;194.25;194.25
29-Jän-2026;191.25;191.25
28-Jän-2026;190.00;190.00
27-Jän-2026;187.25;187.25
26-Jän-2026;189.00;189.00
23-Jän-2026;191.00;191.00
22-Jän-2026;189.50;189.50
21-Jän-2026;189.50;189.50
20-Jän-2026;189.50;189.50
19-Jän-2026;191.25;191.25
16-Jän-2026;190.75;190.75
15-Jän-2026;189.25;189.25
14-Jän-2026;188.75;188.75
13-Jän-2026;190.25;190.25
12-Jän-2026;189.25;189.25
09-Jän-2026;191.75;191.75
08-Jän-2026;191.50;191.50
07-Jän-2026;191.50;191.50
06-Jän-2026;189.00;189.00
05-Jän-2026;188.25;188.25
02-Jän-2026;189.25;189.25
31-Dez-2025;189.75;189.75
30-Dez-2025;189.75;189.75
29-Dez-2025;190.75;190.75
24-Dez-2025;190.25;190.25
23-Dez-2025;189.00;189.00
22-Dez-2025;188.25;188.25
19-Dez-2025;186.75;186.75
18-Dez-2025;186.00;186.00
17-Dez-2025;185.25;185.25
16-Dez-2025;185.75;185.75
15-Dez-2025;187.75;187.75
12-Dez-2025;189.00;189.00
11-Dez-2025;188.50;188.50
10-Dez-2025;190.00;190.00
09-Dez-2025;190.00;190.00
08-Dez-2025;189.25;189.25
05-Dez-2025;192.00;192.00
04-Dez-2025;192.50;192.50
03-Dez-2025;193.00;193.00
02-Dez-2025;191.00;191.00
01-Dez-2025;186.75;186.75
28-Nov-2025;187.25;187.25
27-Nov-2025;189.00;189.00
26-Nov-2025;189.25;189.25
25-Nov-2025;188.75;188.75
24-Nov-2025;189.75;189.75
21-Nov-2025;189.75;189.75
20-Nov-2025;189.25;189.25
19-Nov-2025;190.25;190.25
18-Nov-2025;190.75;190.75
17-Nov-2025;190.00;190.00
14-Nov-2025;188.25;188.25
13-Nov-2025;189.50;189.50
12-Nov-2025;190.25;190.25
11-Nov-2025;189.25;189.25
10-Nov-2025;190.75;190.75
07-Nov-2025;191.50;191.50
06-Nov-2025;192.00;192.00
05-Nov-2025;194.25;194.25
04-Nov-2025;194.75;194.75
03-Nov-2025;193.75;193.75
31-Okt-2025;193.00;193.00
30-Okt-2025;191.25;191.25
29-Okt-2025;192.00;192.00
28-Okt-2025;192.25;192.25
27-Okt-2025;193.50;193.50
24-Okt-2025;190.25;190.25
23-Okt-2025;189.75;189.75
22-Okt-2025;189.75;189.75
21-Okt-2025;188.25;188.25
20-Okt-2025;188.50;188.50
17-Okt-2025;189.25;189.25
16-Okt-2025;187.75;187.75
15-Okt-2025;190.00;190.00
14-Okt-2025;190.50;190.50
13-Okt-2025;189.00;189.00
10-Okt-2025;189.25;189.25
