Exchange Date;Close;Settlement Price
05-Feb-2026;191.75;191.50
04-Feb-2026;192.00;192.00
03-Feb-2026;191.50;191.50
02-Feb-2026;191.75;191.75
30-Jän-2026;193.00;193.00
29-Jän-2026;191.00;191.00
28-Jän-2026;190.25;190.25
27-Jän-2026;188.00;188.00
26-Jän-2026;189.50;189.50
23-Jän-2026;191.25;191.25
22-Jän-2026;189.75;189.75
21-Jän-2026;189.50;189.50
20-Jän-2026;189.50;189.50
19-Jän-2026;192.00;192.00
16-Jän-2026;192.00;192.00
15-Jän-2026;190.25;190.25
14-Jän-2026;189.75;189.75
13-Jän-2026;191.00;191.00
12-Jän-2026;190.00;190.00
09-Jän-2026;192.75;192.75
08-Jän-2026;192.75;192.75
07-Jän-2026;192.75;192.75
06-Jän-2026;190.25;190.25
05-Jän-2026;190.00;190.00
02-Jän-2026;191.00;191.00
31-Dez-2025;191.25;191.25
30-Dez-2025;191.50;191.50
29-Dez-2025;192.75;192.75
24-Dez-2025;192.25;192.25
23-Dez-2025;191.00;191.00
22-Dez-2025;190.50;190.50
19-Dez-2025;189.00;189.00
18-Dez-2025;188.25;188.25
17-Dez-2025;187.75;187.75
16-Dez-2025;188.50;188.50
15-Dez-2025;190.50;190.50
12-Dez-2025;191.75;191.75
11-Dez-2025;191.00;191.00
10-Dez-2025;190.00;190.00
09-Dez-2025;190.25;190.25
08-Dez-2025;190.75;190.75
05-Dez-2025;189.25;189.25
04-Dez-2025;189.75;189.75
03-Dez-2025;191.25;191.25
02-Dez-2025;191.00;191.00
01-Dez-2025;188.50;188.50
28-Nov-2025;188.00;188.00
27-Nov-2025;190.50;190.50
26-Nov-2025;190.25;190.25
25-Nov-2025;190.25;190.25
24-Nov-2025;190.25;190.25
21-Nov-2025;192.00;192.00
20-Nov-2025;192.75;192.75
19-Nov-2025;194.25;194.25
18-Nov-2025;196.00;196.00
17-Nov-2025;195.00;195.00
14-Nov-2025;192.50;192.50
13-Nov-2025;193.75;193.75
12-Nov-2025;193.25;193.25
11-Nov-2025;192.75;192.75
10-Nov-2025;194.25;194.25
07-Nov-2025;195.25;195.25
06-Nov-2025;197.00;197.00
05-Nov-2025;199.75;199.75
04-Nov-2025;198.50;198.50
03-Nov-2025;198.00;198.00
31-Okt-2025;196.75;196.75
30-Okt-2025;195.25;195.25
29-Okt-2025;195.25;195.25
28-Okt-2025;195.75;195.75
27-Okt-2025;196.50;196.50
24-Okt-2025;192.25;192.25
23-Okt-2025;191.75;191.75
22-Okt-2025;191.50;191.50
21-Okt-2025;190.75;190.75
20-Okt-2025;191.00;191.00
17-Okt-2025;191.25;191.25
16-Okt-2025;190.50;190.50
15-Okt-2025;191.25;191.25
14-Okt-2025;192.25;192.25
13-Okt-2025;191.50;191.50
10-Okt-2025;192.25;192.25
09-Okt-2025;194.25;194.25
08-Okt-2025;192.25;192.25
07-Okt-2025;192.50;192.50
06-Okt-2025;192.50;192.50
03-Okt-2025;193.25;193.25
02-Okt-2025;193.50;193.50
01-Okt-2025;192.50;192.50
30-Sep-2025;192.50;192.50
29-Sep-2025;195.25;195.25
26-Sep-2025;196.25;196.25
25-Sep-2025;197.50;197.50
24-Sep-2025;197.00;197.00
23-Sep-2025;196.50;196.50
22-Sep-2025;195.50;195.50
19-Sep-2025;197.00;197.00
18-Sep-2025;198.25;198.25
17-Sep-2025;198.25;198.25
16-Sep-2025;197.50;197.50
15-Sep-2025;196.75;196.75
12-Sep-2025;196.00;196.00
11-Sep-2025;195.50;195.50
10-Sep-2025;188.75;188.75
09-Sep-2025;188.75;188.75
08-Sep-2025;191.00;191.00
05-Sep-2025;189.00;189.00
04-Sep-2025;189.75;189.75
03-Sep-2025;190.25;190.25
02-Sep-2025;190.00;190.00
01-Sep-2025;191.75;191.75
29-Aug-2025;194.00;194.00
28-Aug-2025;192.50;192.50
27-Aug-2025;194.00;194.00
26-Aug-2025;195.25;195.25
25-Aug-2025;195.50;195.50
22-Aug-2025;193.75;193.75
21-Aug-2025;195.75;195.75
20-Aug-2025;193.25;193.25
19-Aug-2025;193.75;193.75
18-Aug-2025;195.50;195.50
15-Aug-2025;195.25;195.25
14-Aug-2025;197.75;197.75
13-Aug-2025;195.75;195.75
12-Aug-2025;195.25;195.25
11-Aug-2025;197.75;197.75
08-Aug-2025;199.50;199.50
07-Aug-2025;201.50;201.50
06-Aug-2025;198.25;198.25
05-Aug-2025;199.50;199.50
04-Aug-2025;202.25;202.25
01-Aug-2025;200.75;200.75
31-Jul-2025;202.50;202.50
30-Jul-2025;205.25;205.25
29-Jul-2025;204.50;204.50
28-Jul-2025;207.50;207.50
25-Jul-2025;204.75;204.75
24-Jul-2025;206.00;206.00
23-Jul-2025;207.75;207.75
22-Jul-2025;210.75;210.75
21-Jul-2025;210.25;210.25
18-Jul-2025;211.50;211.50
17-Jul-2025;208.25;208.25
16-Jul-2025;207.75;207.75
15-Jul-2025;209.25;209.25
14-Jul-2025;207.75;207.75
11-Jul-2025;209.25;209.25
10-Jul-2025;210.25;210.25
09-Jul-2025;206.00;206.00
08-Jul-2025;205.75;205.75
07-Jul-2025;205.50;205.50
